t_s,hex
9.7757,aa550108000000000000000009
45.5752,aa550108000088ff000088ff09
45.6252,aa550108000088ff000088ff09
45.6753,aa550108000088ff000088ff09
45.7256,aa550108000088ff000088ff09
45.7765,aa550108000088ff000088ff09
45.8267,aa550108000088ff000088ff09
45.8763,aa550108000088ff000088ff09
45.9267,aa550108000088ff000088ff09
45.9765,aa550108000088ff000088ff09
46.0265,aa550108000088ff000088ff09
46.0767,aa550108000088ff000088ff09
46.1265,aa550108000088ff000088ff09
46.1765,aa550108000088ff000088ff09
46.2266,aa550108000088ff000088ff09
46.2758,aa550108000088ff000088ff09
46.3255,aa550108000088ff000088ff09
46.3749,aa550108000088ff000088ff09
46.4252,aa550108000088ff000088ff09
46.4753,aa550108000088ff000088ff09
46.5266,aa550108000088ff000088ff09
46.5764,aa550108000088ff000088ff09
46.6262,aa550108000088ff000088ff09
46.6765,aa550108000088ff000088ff09
46.7262,aa550108000088ff000088ff09
46.7763,aa550108000088ff000088ff09
46.8263,aa550108000088ff000088ff09
46.8763,aa550108000088ff000088ff09
46.9262,aa550108000088ff000088ff09
46.9764,aa550108000088ff000088ff09
47.0264,aa550108000088ff000088ff09
47.0753,aa550108000088ff000088ff09
47.1248,aa550108000088ff000088ff09
47.1760,aa550108000088ff000088ff09
47.2253,aa550108000088ff000088ff09
47.2763,aa550108000088ff000088ff09
47.3261,aa550108000088ff000088ff09
47.3765,aa550108000088ff000088ff09
47.4263,aa550108000088ff000088ff09
47.4763,aa550108000088ff000088ff09
47.5264,aa550108000088ff000088ff09
47.5766,aa550108000088ff000088ff09
47.6265,aa550108000088ff000088ff09
47.6764,aa550108000088ff000088ff09
47.7265,aa550108000088ff000088ff09
47.7758,aa550108000088ff000088ff09
47.8249,aa550108000088ff000088ff09
47.8754,aa550108000088ff000088ff09
47.9250,aa550108000088ff000088ff09
47.9753,aa550108000088ff000088ff09
48.0252,aa550108000088ff000088ff09
48.0766,aa550108000088ff000088ff09
48.1263,aa550108000088ff000088ff09
48.1763,aa550108000088ff000088ff09
48.2264,aa550108000088ff000088ff09
48.2762,aa550108000088ff000088ff09
48.3263,aa550108000088ff000088ff09
48.3763,aa550108000088ff000088ff09
48.4267,aa550108000088ff000088ff09
48.4763,aa550108000088ff000088ff09
48.5264,aa550108000088ff000088ff09
48.5757,aa550108000000000000000009
50.5765,aa55010800ff000000ff000009
50.6265,aa55010800ff000000ff000009
50.6763,aa55010800ff000000ff000009
50.7257,aa55010800ff000000ff000009
50.7751,aa55010800ff000000ff000009
50.8252,aa55010800ff000000ff000009
50.8751,aa55010800ff000000ff000009
50.9251,aa55010800ff000000ff000009
50.9764,aa55010800ff000000ff000009
51.0266,aa55010800ff000000ff000009
51.0765,aa55010800ff000000ff000009
51.1264,aa55010800ff000000ff000009
51.1763,aa55010800ff000000ff000009
51.2264,aa55010800ff000000ff000009
51.2764,aa55010800ff000000ff000009
51.3263,aa55010800ff000000ff000009
51.3764,aa55010800ff000000ff000009
51.4264,aa55010800ff000000ff000009
51.4753,aa55010800ff000000ff000009
51.5251,aa55010800ff000000ff000009
51.5748,aa55010800ff000000ff000009
51.6250,aa55010800ff000000ff000009
51.6752,aa55010800ff000000ff000009
51.7263,aa55010800ff000000ff000009
51.7764,aa55010800ff000000ff000009
51.8264,aa55010800ff000000ff000009
51.8763,aa55010800ff000000ff000009
51.9263,aa55010800ff000000ff000009
51.9763,aa55010800ff000000ff000009
52.0263,aa55010800ff000000ff000009
52.0762,aa55010800ff000000ff000009
52.1263,aa55010800ff000000ff000009
52.1763,aa55010800ff000000ff000009
52.2256,aa55010800ff000000ff000009
52.2748,aa55010800ff000000ff000009
52.3250,aa55010800ff000000ff000009
52.3751,aa55010800ff000000ff000009
52.4250,aa55010800ff000000ff000009
52.4760,aa55010800ff000000ff000009
52.5264,aa55010800ff000000ff000009
52.5764,aa55010800ff000000ff000009
52.6264,aa55010800ff000000ff000009
52.6764,aa55010800ff000000ff000009
52.7263,aa55010800ff000000ff000009
52.7763,aa55010800ff000000ff000009
52.8264,aa55010800ff000000ff000009
52.8764,aa55010800ff000000ff000009
52.9263,aa55010800ff000000ff000009
52.9756,aa55010800ff000000ff000009
53.0251,aa55010800ff000000ff000009
53.0753,aa55010800ff000000ff000009
53.1253,aa55010800ff000000ff000009
53.1751,aa55010800ff000000ff000009
53.2252,aa55010800ff000000ff000009
53.2764,aa55010800ff000000ff000009
53.3263,aa55010800ff000000ff000009
53.3763,aa55010800ff000000ff000009
53.4266,aa55010800ff000000ff000009
53.4763,aa55010800ff000000ff000009
53.5262,aa55010800ff000000ff000009
53.5762,aa55010800ff000000ff000009
53.6264,aa550108000000000000000009
55.6264,aa55010800ff000000ff000009
55.6266,aa550108000088ff000088ff09
55.6767,aa550108000088ff000088ff09
55.7268,aa550108000088ff000088ff09
55.7767,aa550108000088ff000088ff09
55.8267,aa550108000088ff000088ff09
55.8767,aa550108000088ff000088ff09
55.9268,aa550108000088ff000088ff09
55.9767,aa550108000088ff000088ff09
56.0271,aa550108000088ff000088ff09
56.0753,aa550108000088ff000088ff09
56.1259,aa550108000088ff000088ff09
56.1752,aa550108000088ff000088ff09
56.2254,aa550108000088ff000088ff09
56.2754,aa550108000088ff000088ff09
56.3269,aa550108000088ff000088ff09
56.3768,aa550108000088ff000088ff09
56.4272,aa550108000088ff000088ff09
56.4770,aa550108000088ff000088ff09
56.5268,aa550108000088ff000088ff09
56.5768,aa550108000088ff000088ff09
56.6268,aa550108000088ff000088ff09
56.6767,aa550108000088ff000088ff09
56.7269,aa550108000088ff000088ff09
56.7770,aa550108000088ff000088ff09
56.8257,aa550108000088ff000088ff09
56.8754,aa550108000088ff000088ff09
56.9256,aa550108000088ff000088ff09
56.9760,aa550108000088ff000088ff09
57.0257,aa550108000088ff000088ff09
57.0768,aa550108000088ff000088ff09
57.1268,aa550108000088ff000088ff09
57.1769,aa550108000088ff000088ff09
57.2269,aa550108000088ff000088ff09
57.2767,aa550108000088ff000088ff09
57.3268,aa550108000088ff000088ff09
57.3769,aa550108000088ff000088ff09
57.4270,aa550108000088ff000088ff09
57.4768,aa550108000088ff000088ff09
57.5268,aa550108000088ff000088ff09
57.5765,aa550108000088ff000088ff09
57.6252,aa550108000088ff000088ff09
57.6750,aa550108000088ff000088ff09
57.7256,aa550108000088ff000088ff09
57.7755,aa550108000088ff000088ff09
57.8261,aa550108000088ff000088ff09
57.8766,aa550108000088ff000088ff09
57.9265,aa550108000088ff000088ff09
57.9769,aa550108000088ff000088ff09
58.0268,aa550108000088ff000088ff09
58.0769,aa550108000088ff000088ff09
58.1268,aa550108000088ff000088ff09
58.1769,aa550108000088ff000088ff09
58.2269,aa550108000088ff000088ff09
58.2770,aa550108000088ff000088ff09
58.3270,aa550108000088ff000088ff09
58.3760,aa550108000088ff000088ff09
58.4252,aa550108000088ff000088ff09
58.4753,aa550108000088ff000088ff09
58.5255,aa550108000088ff000088ff09
58.5762,aa550108000088ff000088ff09
58.6269,aa550108000000000000000009
58.9765,aa55010800ff000000ff000009
59.0266,aa55010800ff000000ff000009
59.0764,aa55010800ff000000ff000009
59.1252,aa55010800ff000000ff000009
59.1750,aa55010800ff000000ff000009
59.2250,aa55010800ff000000ff000009
59.2748,aa55010800ff000000ff000009
59.3252,aa55010800ff000000ff000009
59.3763,aa55010800ff000000ff000009
59.4253,aa55010800ff000000ff000009
59.4763,aa55010800ff000000ff000009
59.5263,aa55010800ff000000ff000009
59.5762,aa55010800ff000000ff000009
59.6262,aa55010800ff000000ff000009
59.6764,aa55010800ff000000ff000009
59.7263,aa55010800ff000000ff000009
59.7763,aa55010800ff000000ff000009
59.8266,aa55010800ff000000ff000009
59.8753,aa55010800ff000000ff000009
59.9252,aa55010800ff000000ff000009
59.9756,aa55010800ff000000ff000009
60.0254,aa55010800ff000000ff000009
60.0754,aa55010800ff000000ff000009
60.1261,aa55010800ff000000ff000009
60.1761,aa55010800ff000000ff000009
60.2267,aa55010800ff000000ff000009
60.2763,aa55010800ff000000ff000009
60.3286,aa55010800ff000000ff000009
60.3764,aa55010800ff000000ff000009
60.4264,aa55010800ff000000ff000009
60.4764,aa55010800ff000000ff000009
60.5266,aa55010800ff000000ff000009
60.5763,aa55010800ff000000ff000009
60.6258,aa55010800ff000000ff000009
60.6751,aa55010800ff000000ff000009
60.7250,aa55010800ff000000ff000009
60.7750,aa55010800ff000000ff000009
60.8249,aa55010800ff000000ff000009
60.8759,aa55010800ff000000ff000009
60.9263,aa55010800ff000000ff000009
60.9761,aa55010800ff000000ff000009
61.0264,aa55010800ff000000ff000009
